Слово/фраза,Транскрипция,Перевод,Категория,Частотность,Широкая категория
Nebel,[ˈneːbl̩],туман,Погода,930,Путешествия и транспорт
Rabatt,[ʁaˈbat],скидка,Покупки,930,Покупки и магазины
zwischen,[ˈtsvɪʃn̩],между,Предлоги места,930,Путешествия и транспорт
Abendessen,[ˈaːbn̩tˌʔɛsn̩],ужин,Приемы пищи,930,Рестораны и кафе
bis morgen,[bɪs ˈmɔʁɡn̩],до завтра,Прощание,930,Приветствия и знакомства
Abfahrt,[ˈapˌfaʁt],отправление,Путешествия,930,Путешествия и транспорт
Bruder,[ˈbʁuːdɐ],брат,Семья (Ближайшие родственники),930,Семья и люди
Schwester,[ˈʃvɛstɐ],сестра,Семья (Ближайшие родственники),930,Семья и люди
Schüssel,[ˈʃʏsl̩],миска,Столовые приборы,930,Рестораны и кафе
Taxi,[ˈtaksi],такси,Транспорт,930,Путешествия и транспорт
Kirsche,[ˈkɪʁ.ʃə],вишня / черешня,Фрукты,930,Рестораны и кафе
grau,[ɡʁaʊ],серый,Цвета,930,Дом и быт
sieben,[ˈziːbn̩],семь,Числа,930,Покупки и магазины
Heft,[hɛft],тетрадь,Школа (В классе),930,Учёба и работа
Bibliothek,[biblioˈteːk],библиотека,Школа (Места),930,Учёба и работа
Kollege,[koˈleːɡə],коллега,Бизнес / Работа,920,Учёба и работа
Wasserhahn,[ˈvasɐˌhaːn],кран,Ванная комната,920,Дом и быт
baden,[ˈbaːdn̩],купаться,Ванная комната,920,Дом и быт
Kühlschrank,[ˈkyːlˌʃʁaŋk],холодильник,Ванная комната / Кухня,920,Дом и быт
probieren,[proˈbiː.rən],пробовать,Вкус (Еда),920,Рестораны и кафе
lockig,[ˈlɔkɪç],кудрявый,Внешность (Волосы),920,Семья и люди
Wetter,[ˈvɛtɐ],погода,Времена года,920,Путешествия и транспорт
gewinnen,[ɡəˈvɪnən],выигрывать,Глаголы (Спорт),920,Основные глаголы
kommen,[ˈkɔmən],приходить,Глаголы действия,920,Основные глаголы
Fernseher,[ˈfɛrnˌzeːɐ̯],телевизор,Гостиная,920,Дом и быт
Muffin,[ˈmafɪn],маффин,Десерты,920,Рестораны и кафе
Obst,[oːpst],фрукты,Еда и напитки,920,Рестораны и кафе
Bär,[bɛːɐ̯],медведь,Животные (Лесные),920,Хобби и повседневная жизнь
Delfin,[dɛlˈfiːn],дельфин,Животные (Морские),920,Хобби и повседневная жизнь
Klinik,[ˈkliːnɪk],клиника,Здоровье (Места),920,Здоровье и самочувствие
Bruch,[bʁʊx],перелом,Здоровье (Травмы),920,Здоровье и самочувствие
bauen,[ˈbaʊ̯ən],строить,Искусство и ремесла,920,Хобби и повседневная жизнь
Nicht so gut,[nɪçt zoː ɡuːt],Не очень хорошо,Как дела?,920,Приветствия и знакомства
rühren,[ˈʁyː.ʁən],"мешать, размешивать",Кухня (Глаголы),920,Основные глаголы
unser,[ˈʊnzɐ],наш,Местоимения,920,Приветствия и знакомства
August,[aʊ̯ˈɡʊst],август,Месяцы года,920,Приветствия и знакомства
Knoblauch,[ˈknoːblaʊ̯x],чеснок,Овощи,920,Рестораны и кафе
T-Shirt,[ˈtiːˌʃɜːt],футболка,Одежда,920,Покупки и магазины
halten,[ˈhaltən],держать,Осязание,920,Дом и быт
Markt,[maʁkt],рынок,Покупки (Места),920,Покупки и магазины
vor,[foːɐ̯],перед,Предлоги места,920,Путешествия и транспорт
Bäcker,[ˈbɛkɐ],пекарь,Профессии,920,Учёба и работа
Ankunft,[ˈankʊnft],прибытие,Путешествия,920,Путешествия и транспорт
Serviette,[zɛʁˈvjɛtə],салфетка,Столовые приборы,920,Рестораны и кафе
U-Bahn,[ˈuːˌbaːn],метро,Транспорт,920,Путешествия и транспорт
Pfirsich,[ˈpfɪʁ.zɪç],персик,Фрукты,920,Рестораны и кафе
freundlich,[ˈfʁɔʏ̯nt.lɪç],дружелюбный,Характер и эмоции,920,Семья и люди
Schulter,[ˈʃʊltɐ],плечо,Части тела,920,Здоровье и самочувствие
acht,[axt],восемь,Числа,920,Покупки и магазины
dunkel,[ˈdʊŋkl̩],тёмный,Внешность (Волосы),910,Семья и люди
schlank,[ʃlaŋk],стройный,Внешность (Общее),910,Семья и люди
verlieren,[fɛɐ̯ˈliːʁən],проигрывать,Глаголы (Спорт),910,Основные глаголы
sehen,[ˈzeːən],видеть,Глаголы действия,910,Основные глаголы
Waffel,[ˈvafl̩],вафля,Десерты,910,Рестораны и кафе
Käse,[ˈkɛːzə],сыр,Еда и напитки,910,Рестораны и кафе
Papier,[paˈpiːɐ̯],бумага,Искусство и ремесла,910,Хобби и повседневная жизнь
würzen,[ˈvʏʁ.tsn̩],"приправлять, добавлять специи",Кухня (Глаголы),910,Основные глаголы
euer,[ˈɔɪ̯ɐ],"ваш (мн.ч., неформально)",Местоимения,910,Приветствия и знакомства
September,[zɛpˈtɛmbɐ],сентябрь,Месяцы года,910,Приветствия и знакомства
Bier,[biːɐ̯],пиво,Напитки,910,Рестораны и кафе
Pilz,[pɪlts],гриб,Овощи,910,Рестораны и кафе
Pullover,[pʊˈloːvɐ],свитер,Одежда,910,Покупки и магазины
hinter,[ˈhɪntɐ],"позади, за",Предлоги места,910,Путешествия и транспорт
Friseur,[fʁiˈzøːɐ̯],парикмахер,Профессии,910,Учёба и работа
Flughafen,[ˈfluːkˌhaːfn̩],аэропорт,Путешествия,910,Путешествия и транспорт
Melone,[meˈloː.nə],дыня,Фрукты,910,Рестораны и кафе
Arm,[aʁm],рука (от плеча до кисти),Части тела,910,Здоровье и самочувствие
neun,[nɔʏn],девять,Числа,910,Покупки и магазины
Stift,[ʃtɪft],ручка / карандаш,Школа (В классе),910,Учёба и работа
Büro,[byˈʁoː],офис,Бизнес / Работа,900,Учёба и работа
Duschgel,[ˈdʊʃˌɡeːl],гель для душа,Ванная комната,900,Дом и быт
Kamm,[kam],"гребень, расчёска",Ванная комната,900,Дом и быт
heiß,[haɪ̯s],горячий,Ванная комната,900,Дом и быт
kalt,[kalt],холодный,Ванная комната,900,Дом и быт
nass,[nas],мокрый,Ванная комната,900,Дом и быт
spülen,[ˈʃpyːlən],смывать,Ванная комната,900,Дом и быт
trocken,[ˈtʁɔkn̩],сухой,Ванная комната,900,Дом и быт
Herd,[heːɐ̯t],плита,Ванная комната / Кухня,900,Дом и быт
es tut mir leid,[ɛs tuːt miːɐ̯ laɪ̯t],мне жаль / простите,Вежливость / Этикет,900,Приветствия и знакомства
gern geschehen,[ˈɡɛrn ɡəˈʃeːən],не за что,Вежливость / Этикет,900,Приветствия и знакомства
tschüss,[tʃʏs],пока,Вежливость / Этикет,900,Приветствия и знакомства
vielen Dank,[ˈfiːlən daŋk],большое спасибо,Вежливость / Этикет,900,Приветствия и знакомства
salzig,[ˈzal.t͡sɪç],солёный,Вкус (Еда),900,Рестораны и кафе
hell,[hɛl],светлый,Внешность (Волосы),900,Семья и люди
schauen,[ˈʃaʊ̯ən],смотреть,Внешность (Общее),900,Семья и люди
Wie lang?,[viː laŋ],Какой длины?,Внешность (Размер / Рост),900,Семья и люди
hoch,[hoːx],высокий (о предмете),Внешность (Размер / Рост),900,Семья и люди
Erwachsener,[ɛɐ̯ˈvaksənɐ],взрослый,Возраст,900,Приветствия и знакомства
woher,[voˈheːɐ̯],откуда,Вопросительные слова,900,Приветствия и знакомства
Frühling,[ˈfʁyːlɪŋ],весна,Времена года,900,Путешествия и транспорт
Herbst,[hɛʁpst],осень,Времена года,900,Путешествия и транспорт
Minute,[miˈnuːtə],минута,Время (Другое),900,Приветствия и знакомства
früh,[fʁyː],рано,Время (Другое),900,Приветствия и знакомства
früher,[ˈfʁyːɐ̯],раньше,Время (Другое),900,Приветствия и знакомства
selten,[ˈzɛltən],редко,Время (Другое),900,Приветствия и знакомства
sofort,[zoˈfɔʁt],немедленно,Время (Другое),900,Приветствия и знакомства
spät,[ʃpɛːt],поздно,Время (Другое),900,Приветствия и знакомства
vorgestern,[ˈfoːɐ̯ˌɡɛstɐn],позавчера,Время (Другое),900,Приветствия и знакомства
übermorgen,[ˈyːbɐˌmɔʁɡn̩],послезавтра,Время (Другое),900,Приветствия и знакомства
sitzen,[ˈzɪt͡sn̩],"сидеть, находиться (сидя)",Глаголы (Местоположение),900,Основные глаголы
scheinen,[ˈʃaɪ̯nən],светить (о солнце),Глаголы (Погода),900,Основные глаголы
heiraten,[ˈhaɪ̯ʁaːtn̩],"жениться, выходить замуж",Глаголы (Семья),900,Основные глаголы
schwimmen,[ˈʃvɪmən],плавать,Глаголы (Спорт),900,Основные глаголы
geben,[ˈɡeːbn̩],давать,Глаголы действия,900,Основные глаголы
Zimmer,[ˈt͡sɪ.mɐ],комната,Дом,900,Дом и быт
Reis,[ʁaɪ̯s],рис,Еда и напитки,900,Рестораны и кафе
Huhn,[huːn],курица,Животные (Домашние/Ферма),900,Хобби и повседневная жизнь
Kaninchen,[kaˈnɪnçən],кролик,Животные (Домашние/Ферма),900,Хобби и повседневная жизнь
Kuh,[kuː],корова,Животные (Домашние/Ферма),900,Хобби и повседневная жизнь
Pferd,[pfeːɐ̯t],лошадь,Животные (Домашние/Ферма),900,Хобби и повседневная жизнь
Baum,[baʊm],дерево,Животные (Лесные),900,Хобби и повседневная жизнь
Wildschwein,[ˈvɪltˌʃvaɪn],кабан,Животные (Лесные),900,Хобби и повседневная жизнь
Hai,[haɪ̯],акула,Животные (Морские),900,Хобби и повседневная жизнь
Lärm,[lɛʁm],шум,Звук,900,Дом и быт
ruhig,[ˈʁuːɪç],"спокойный, тихий",Звук,900,Дом и быт
Schmerz,[ʃmɛʁt͡s],боль,Здоровье,900,Здоровье и самочувствие
Ich habe Schmerzen,[ɪç ˈhaːbə ˈʃmɛʁ.tsn̩],У меня болит,Здоровье (Болезни),900,Здоровье и самочувствие
Mir ist schlecht,[miːɐ̯ ɪst ʃlɛçt],Мне плохо / Меня тошнит,Здоровье (Болезни),900,Здоровье и самочувствие
Wo tut es weh?,[voː tuːt ɛs veː],Где болит?,Здоровье (Болезни),900,Здоровье и самочувствие
gesund,[ɡəˈzʊnt],здоровый,Здоровье (Люди),900,Здоровье и самочувствие
krank,[kʁaŋk],больной,Здоровье (Люди),900,Здоровье и самочувствие
Halsschmerz,[ˈhalsˌʃmɛʁts],боль в горле,Здоровье (Симптомы),900,Здоровье и самочувствие
Versicherung,[fɛɐ̯ˈzɪçəʁʊŋ],страховка,Здоровье (Службы),900,Здоровье и самочувствие
Prellung,[ˈpʁɛlʊŋ],ушиб,Здоровье (Травмы),900,Здоровье и самочувствие
schlecht,[ʃlɛçt],Плохо,Как дела?,900,Приветствия и знакомства
sich,[zɪç],себя,Местоимения,900,Приветствия и знакомства
dort,[dɔʁt],там,Местоположение (Здесь и там),900,Путешествия и транспорт
Oktober,[ɔkˈtoːbɐ],октябрь,Месяцы года,900,Приветствия и знакомства
Lamm,[lam],ягнятина,Мясо,900,Рестораны и кафе
Wein,[vaɪn],вино,Напитки,900,Рестораны и кафе
wo?,[voː],где?,Направления (стороны света),900,Путешествия и транспорт
Duft,[dʊft],"аромат, приятный запах",Обоняние,900,Дом и быт
Spinat,[ʃpiˈnaːt],шпинат,Овощи,900,Рестораны и кафе
Ausziehen,[ˈaʊ̯sˌt͡siːən],снимать (одежду),Одежда,900,Покупки и магазины
Kleid,[klaɪ̯t],платье,Одежда,900,Покупки и магазины
Kleidungsstück,[ˈklaɪ̯dʊŋsˌʃtʏk],предмет одежды,Одежда,900,Покупки и магазины
Mantel,[ˈmantl̩],пальто,Одежда,900,Покупки и магазины
passen,[ˈpasn̩],подходить (по размеру),Одежда,900,Покупки и магазины
drücken,[ˈdʁʏkən],"нажимать, давить",Осязание,900,Дом и быт
vielleicht,[fiˈlaɪ̯çt],может быть,Ответы,900,Приветствия и знакомства
Viel Glück,[fiːl ˈɡlʏk],Удачи,Поздравления / Праздники,900,Приветствия и знакомства
bar,[baːɐ̯],наличные,Покупки,900,Покупки и магазины
Kaufhaus,[ˈkaʊfˌhaʊs],универмаг,Покупки (Места),900,Покупки и магазины
bei,[baɪ̯],"у, возле",Предлоги места,900,Путешествия и транспорт
Mechaniker,[meˈçaːnɪkɐ],механик,Профессии,900,Учёба и работа
mach's gut,[maxs ɡuːt],всего хорошего,Прощание,900,Приветствия и знакомства
Bahnhof,[ˈbaːnˌhoːf],вокзал,Путешествия,900,Путешествия и транспорт
Kellner,[ˈkɛl.nɐ],официант,Путешествия (Персонал),900,Путешествия и транспорт
jedoch,[jeˈdɔx],однако,Связующие слова (Сравнение/Контраст),900,Путешествия и транспорт
Großmutter,[ˈɡʁoːsˌmʊtɐ],бабушка,Семья (Ближайшие родственники),900,Семья и люди
Großvater,[ˈɡʁoːsˌfaːtɐ],дедушка,Семья (Ближайшие родственники),900,Семья и люди
Enkel,[ˈɛŋkəl],внук,Семья (Дальние родственники),900,Семья и люди
Enkelin,[ˈɛŋkəˌlɪn],внучка,Семья (Дальние родственники),900,Семья и люди
Verwandte,[fɛɐ̯ˈvantə],родственник,Семья (Дальние родственники),900,Семья и люди
Mannschaft,[ˈmanʃaft],команда,Спорт,900,Хобби и повседневная жизнь
fit,[fɪt],в хорошей форме,Спорт,900,Хобби и повседневная жизнь
Becher,[ˈbɛçɐ],кружка,Столовые приборы,900,Рестораны и кафе
Haltestelle,[ˈhaltəˌʃtɛlə],остановка,Транспорт,900,Путешествия и транспорт
Straßenbahn,[ˈʃtʁaːsn̩ˌbaːn],трамвай,Транспорт,900,Путешествия и транспорт
Schaffner,[ˈʃafnɐ],кондуктор,Транспорт (Персонал),900,Путешествия и транспорт
Wassermelone,[ˈvasɐˌmeːloːnə],арбуз,Фрукты,900,Рестораны и кафе
traurig,[ˈtʁaʊ̯ʁɪç],грустный,Характер и эмоции,900,Семья и люди
Bein,[baɪ̯n],нога (от бедра до ступни),Части тела,900,Здоровье и самочувствие
Fuß,[fuːs],ступня,Части тела,900,Здоровье и самочувствие
Hand,[hant],кисть руки,Части тела,900,Здоровье и самочувствие
zehn,[tseːn],десять,Числа,900,Покупки и магазины
Bleistift,[ˈblaɪ̯ʃtɪft],карандаш,Школа (В классе),900,Учёба и работа
Turnhalle,[ˈtʊʁnˌhalə],спортзал,Школа (Места),900,Учёба и работа
Termin,[tɛʁˈmiːn],"встреча, назначение",Бизнес / Работа,890,Учёба и работа
blond,[blɔnt],блонд,Внешность (Волосы),890,Семья и люди
wohin,[voˈhɪn],куда,Вопросительные слова,890,Приветствия и знакомства
wissen,[ˈvɪsn̩],знать,Глаголы действия,890,Основные глаголы
Sessel,[ˈzɛsl̩],кресло,Гостиная,890,Дом и быт
backen,[ˈbakn̩],печь (выпекать),Десерты,890,Рестораны и кафе
Kartoffel,[kaʁˈtɔfl̩],картофель,Еда и напитки,890,Рестораны и кафе
Husten,[ˈhuːstn̩],кашель,Здоровье (Болезни),890,Здоровье и самочувствие
Fieber haben,[ˈfiːbɐ ˈhaːbn̩],иметь температуру,Здоровье (Симптомы),890,Здоровье и самочувствие
Pinsel,[ˈpɪnzl̩],кисть,Искусство и ремесла,890,Хобби и повседневная жизнь
Und dir?,[ʊnt diːɐ̯],А у тебя?,Как дела?,890,Приветствия и знакомства
servieren,[zɛʁˈviːʁən],подавать,Кухня (Глаголы),890,Основные глаголы
mich,[mɪç],меня,Местоимения,890,Приветствия и знакомства
November,[noˈvɛmbɐ],ноябрь,Месяцы года,890,Приветствия и знакомства
Bohne,[ˈboːnə],фасоль,Овощи,890,Рестораны и кафе
ziehen,[ˈtsiːən],тянуть,Осязание,890,Дом и быт
kühl,[kyːl],прохладно,Погода,890,Путешествия и транспорт
Karte,[ˈkaʁtə],карта (банковская),Покупки,890,Покупки и магазины
an,[an],"у, на (вертикальной поверхности)",Предлоги места,890,Путешествия и транспорт
Sekretär,[zekʁeˈtɛːɐ̯],секретарь,Профессии,890,Учёба и работа
Ticket,[ˈtɪkɛt],билет,Путешествия,890,Путешествия и транспорт
trotzdem,[ˈtʁɔt͡sdeːm],тем не менее,Связующие слова (Сравнение/Контраст),890,Путешествия и транспорт
Ball,[bal],мяч,Спорт,890,Хобби и повседневная жизнь
Zitrone,[tsiˈtʁoː.nə],лимон,Фрукты,890,Рестораны и кафе
rosa,[ˈʁoːza],розовый,Цвета,890,Дом и быт
Finger,[ˈfɪŋɐ],палец (на руке),Части тела,890,Здоровье и самочувствие
Radiergummi,[ʁaˈdiːɐ̯ˌɡʊmi],ластик,Школа (В классе),890,Учёба и работа
Hausaufgabe,[ˈhaʊ̯sʔaʊ̯fˌɡaːbə],домашнее задание,Школа (Учебная деятельность),890,Учёба и работа
Bürste,[ˈbʏʁstə],щётка,Ванная комната,880,Дом и быт
frisch,[frɪʃ],свежий,Вкус (Еда),880,Рестораны и кафе
braun,[bʁaʊ̯n],"каштановый, коричневый",Внешность (Волосы),880,Семья и люди
schmal,[ʃmaːl],"узкий, худощавый",Внешность (Общее),880,Семья и люди
Wie breit?,[viː bʁaɪt],Какой ширины?,Внешность (Размер / Рост),880,Семья и люди
niedrig,[ˈniːdʁɪç],низкий (о предмете),Внешность (Размер / Рост),880,Семья и люди
klettern,[ˈklɛtɐn],"лазать, карабкаться",Глаголы (Спорт),880,Основные глаголы
nehmen,[ˈneːmən],брать,Глаголы действия,880,Основные глаголы
ordentlich,[ˈɔʁdn̩tlɪç],"аккуратный, опрятный",Дом (Описание),880,Дом и быт
Salat,[zaˈlaːt],салат,Еда и напитки,880,Рестораны и кафе
Waschbär,[ˈvaʃˌbɛːɐ̯],енот,Животные (Лесные),880,Хобби и повседневная жизнь
Wal,[vaːl],кит,Животные (Морские),880,Хобби и повседневная жизнь
Geräusch,[ɡəˈʁɔɪ̯ʃ],"звук, шум",Звук,880,Дом и быт
Hilfe!,[ˈhɪl.fə],Помогите!,Здоровье,880,Здоровье и самочувствие
Beule,[ˈbɔɪ̯lə],шишка,Здоровье (Травмы),880,Здоровье и самочувствие
Schere,[ˈʃeːʁə],ножницы,Искусство и ремесла,880,Хобби и повседневная жизнь
Und Ihnen?,[ʊnt ˈiːnən],А у Вас?,Как дела?,880,Приветствия и знакомства
abwaschen,[ˈapˌvaʃn̩],мыть (посуду),Кухня (Глаголы),880,Основные глаголы
dich,[dɪç],тебя,Местоимения,880,Приветствия и знакомства
Dezember,[deˈt͡sɛmbɐ],декабрь,Месяцы года,880,Приветствия и знакомства
Wurst,[vʊʁst],колбаса,Мясо,880,Рестораны и кафе
stinken,[ˈʃtɪŋkən],вонять,Обоняние,880,Дом и быт
Erbse,[ˈɛʁpsə],горох,Овощи,880,Рестораны и кафе
Rock,[ʁɔk],юбка,Одежда,880,Покупки и магазины
eng,[ɛŋ],узкий,Описание (Расстояние),880,Дом и быт
Frohe Weihnachten,[ˈfʁoːə ˈvaɪ̯naxtn̩],С Рождеством,Поздравления / Праздники,880,Приветствия и знакомства
Quittung,[ˈkvɪtʊŋ],"чек, квитанция",Покупки,880,Покупки и магазины
Weihnachten,[ˈvaɪ̯.naχ.tn̩],Рождество,Праздники и вечеринки,880,Хобби и повседневная жизнь
grüß dich,[ˈɡʁyːs dɪç],привет (разговорное),Приветствия,880,Приветствия и знакомства
Künstler,[ˈkʏnstlɐ],художник,Профессии,880,Учёба и работа
Pass,[pas],паспорт,Путешествия,880,Путешествия и транспорт
Oma,[ˈoːma],бабушка (разг.),Семья (Ближайшие родственники),880,Семья и люди
Opa,[ˈoːpa],дедушка (разг.),Семья (Ближайшие родственники),880,Семья и люди
Turnen,[ˈtʊʁnən],гимнастика,Спорт,880,Хобби и повседневная жизнь
Busfahrer,[ˈbʊsˌfaːʁɐ],водитель автобуса,Транспорт (Персонал),880,Путешествия и транспорт
lustig,[ˈlʊs.tɪç],весёлый,Характер и эмоции,880,Семья и люди
violett,[vi̯oˈlɛt],фиолетовый,Цвета,880,Дом и быт
Brust,[bʁʊst],грудь,Части тела,880,Здоровье и самочувствие
Knie,[kniː],колено,Части тела,880,Здоровье и самочувствие
bewegen,[bəˈveːɡn̩],двигать,Части тела,880,Здоровье и самочувствие
Lineal,[lɪneˈaːl],линейка,Школа (В классе),880,Учёба и работа
Bewerbung,[bəˈvɛʁbʊŋ],заявление (о приёме на работу),Бизнес / Работа,870,Учёба и работа
Rasierer,[ʁaˈziːʁɐ],бритва,Ванная комната,870,Дом и быт
Teller,[ˈtɛlɐ],тарелка,Ванная комната / Кухня,870,Дом и быт
bitte schön,[ˈbɪ.tə ʃøːn],пожалуйста (усиленно),Вежливость / Этикет,870,Приветствия и знакомства
schwarz,[ʃvaʁt͡s],чёрный,Внешность (Волосы),870,Семья и люди
üben,[ˈyːbən],упражняться,Глаголы (Спорт),870,Основные глаголы
sprechen,[ˈʃpʁɛçn̩],говорить,Глаголы действия,870,Основные глаголы
Teppich,[ˈtɛpɪç],ковёр,Гостиная,870,Дом и быт
Stück,[ʃtʏk],"кусок, кусочек",Десерты,870,Рестораны и кафе
Suppe,[ˈzʊpə],суп,Еда и напитки,870,Рестораны и кафе
Ton,[toːn],"тон, звук",Звук,870,Дом и быт
schreien,[ˈʃʁaɪ̯ən],кричать,Звук,870,Дом и быт
Schnupfen,[ˈʃnʊp.fn̩],насморк,Здоровье (Болезни),870,Здоровье и самочувствие
Bauchschmerz,[ˈbaʊxˌʃmɛʁts],боль в животе,Здоровье (Симптомы),870,Здоровье и самочувствие
Kleber,[ˈkleːbɐ],клей,Искусство и ремесла,870,Хобби и повседневная жизнь
Es geht,[ɛs ˈɡeːt],Нормально / пойдёт,Как дела?,870,Приветствия и знакомства
uns,[ʊns],нас,Местоимения,870,Приветствия и знакомства
Limonade,[limoˈnaːdə],лимонад,Напитки,870,Рестораны и кафе
Kohl,[koːl],капуста,Овощи,870,Рестораны и кафе
Socken,[ˈzɔkn̩],носки,Одежда,870,Покупки и магазины
Wie weit?,[viː vaɪt],Как далеко?,Описание (Расстояние),870,Дом и быт
weich,[vaɪ̯ç],мягкий,Осязание,870,Дом и быт
Frohes neues Jahr,[ˈfʁoːəs ˈnɔʏ̯əs ˈjaːɐ̯],С Новым годом,Поздравления / Праздники,870,Приветствия и знакомства
Musiker,[ˈmuːzɪkɐ],музыкант,Профессии,870,Учёба и работа
Hotel,[hoˈtɛl],отель,Путешествия,870,Путешествия и транспорт
Geschwister,[ɡəˈʃvɪstɐ],братья и сёстры,Семья (Ближайшие родственники),870,Семья и люди
Tennis,[ˈtɛnɪs],теннис,Спорт,870,Хобби и повседневная жизнь
Suppenteller,[ˈzʊpənˌtɛlɐ],глубокая тарелка,Столовые приборы,870,Рестораны и кафе
Pflaume,[ˈpflaʊ̯.mə],слива,Фрукты,870,Рестораны и кафе
ernst,[ɛʁnst],серьёзный,Характер и эмоции,870,Семья и люди
Haut,[haʊ̯t],кожа,Части тела,870,Здоровье и самочувствие
Herz,[hɛʁts],сердце,Части тела,870,Здоровье и самочувствие
Rücken,[ˈʁʏkn̩],спина,Части тела,870,Здоровье и самочувствие
Eingang,[ˈaɪnˌɡaŋ],вход,Школа (Места),870,Учёба и работа
Hof,[hoːf],двор,Школа (Места),870,Учёба и работа
Lebenslauf,[ˈleːbənsˌlaʊ̯f],"резюме, CV",Бизнес / Работа,860,Учёба и работа
rot,[ʁoːt],"рыжий, красный",Внешность (Волосы),860,Семья и люди
breit,[bʁaɪt],широкий,Внешность (Размер / Рост),860,Семья и люди
rennen,[ˈʁɛnən],бежать (быстро),Глаголы (Спорт),860,Основные глаголы
essen,[ˈɛsn̩],есть (принимать пищу),Глаголы действия,860,Основные глаголы
unordentlich,[ˈʊnˌɔʁdn̩tlɪç],"неаккуратный, неубранный",Дом (Описание),860,Дом и быт
Ei,[aɪ̯],яйцо,Еда и напитки,860,Рестораны и кафе
Seestern,[ˈzeːˌʃtɛʁn],морская звезда,Животные (Морские),860,Хобби и повседневная жизнь
Stille,[ˈʃtɪlə],тишина,Звук,860,Дом и быт
still,[ʃtɪl],тихо,Звук,860,Дом и быт
Kopfschmerzen,[ˈkɔpfˌʃmɛʁ.tsn̩],головная боль,Здоровье (Болезни),860,Здоровье и самочувствие
verstauchen,[fɛɐ̯ˈʃtaʊ̯xn̩],вывихнуть,Здоровье (Травмы),860,Здоровье и самочувствие
gießen,[ˈɡiː.sn̩],"наливать, поливать",Кухня (Глаголы),860,Основные глаголы
euch,[ɔɪ̯ç],"вас (мн.ч., неформально)",Местоимения,860,Приветствия и знакомства
Wiener,[ˈviːnɐ],сосиска,Мясо,860,Рестораны и кафе
Cola,[ˈkoːla],кола,Напитки,860,Рестораны и кафе
Parfüm,[paʁˈfyːm],"духи, парфюм",Обоняние,860,Дом и быт
Brokkoli,[ˈbʁɔkoli],брокколи,Овощи,860,Рестораны и кафе
entfernt,[ɛntˈfɛrnt],отдалённый,Описание (Расстояние),860,Дом и быт
hart,[haʁt],твёрдый,Осязание,860,Дом и быт
bewölkt,[bəˈvœlkt],облачно,Погода,860,Путешествия и транспорт
Gute Besserung,[ˈɡuːtə ˈbɛsəʁʊŋ],Выздоравливай,Поздравления / Праздники,860,Приветствия и знакомства
gegenüber,[ɡeːɡn̩ˈyːbɐ],напротив,Предлоги места,860,Путешествия и транспорт
Schauspieler,[ˈʃaʊ̯ˌʃpiːlɐ],актёр,Профессии,860,Учёба и работа
Übung,[ˈyːbʊŋ],упражнение,Спорт,860,Хобби и повседневная жизнь
Kanne,[ˈkanə],чайник / кувшин,Столовые приборы,860,Рестораны и кафе
Aprikose,[apʁiˈkoː.zə],абрикос,Фрукты,860,Рестораны и кафе
Bauch,[baʊ̯x],живот,Части тела,860,Здоровье и самочувствие
Daumen,[ˈdaʊ̯mən],большой палец,Части тела,860,Здоровье и самочувствие
Ausgang,[ˈaʊsˌɡaŋ],выход,Школа (Места),860,Учёба и работа
Unterschrift,[ˈʊntɐˌʃʁɪft],подпись,Бизнес / Работа,850,Учёба и работа
Föhn,[føːn],фен,Ванная комната,850,Дом и быт
Waschlappen,[ˈvaʃˌlapn̩],мочалка,Ванная комната,850,Дом и быт
abwischen,[ˈapˌvɪʃn̩],вытирать,Ванная комната,850,Дом и быт
schmutzig,[ˈʃmʊtsɪç],грязный,Ванная комната,850,Дом и быт
rasieren,[ʁaˈziːʁən],бриться,Ванная комната (Глаголы),850,Основные глаголы
Schlafzimmer,[ˈʃlaːfˌtsɪmɐ],спальня,Ванная комната / Спальня / Гостиная,850,Дом и быт
kein Problem,[kaɪ̯n pʁoˈbleːm],нет проблем,Вежливость / Этикет,850,Приветствия и знакомства
bitter,[ˈbɪ.tɐ],горький,Вкус (Еда),850,Рестораны и кафе
riechen,[ˈʁiːçn̩],пахнуть,Вкус (Ощущения),850,Дом и быт
kurzhaarig,[ˈkʊʁt͡sˌhaːʁɪç],коротковолосый,Внешность (Волосы),850,Семья и люди
mittelgroß,[ˈmɪtl̩ˌɡʁoːs],среднего роста,Внешность (Размер / Рост),850,Семья и люди
Jugendlicher,[ˈjuːɡn̩tlɪçɐ],подросток,Возраст,850,Приветствия и знакомства
wessen,[ˈvɛsn̩],чей,Вопросительные слова,850,Приветствия и знакомства
warm,[vaʁm],тёплый,Времена года,850,Путешествия и транспорт
Sekunde,[zeˈkʊndə],секунда,Время (Другое),850,Приветствия и знакомства
damals,[ˈdaːmaːls],тогда (в прошлом),Время (Другое),850,Приветствия и знакомства
spätestens,[ˈʃpɛːtənstns],не позднее чем,Время (Другое),850,Приветствия и знакомства
stellen,[ˈʃtɛlən],"ставить, помещать (вертикально)",Глаголы (Местоположение),850,Основные глаголы
frieren,[ˈfʁiːʁən],"замерзать, мёрзнуть",Глаголы (Погода),850,Основные глаголы
umarmen,[ʊmˈʔaʁmən],обнимать,Глаголы (Семья),850,Основные глаголы
boxen,[ˈbɔksən],боксировать,Глаголы (Спорт),850,Основные глаголы
